Approved Symbol	Approved Name	Chromosome	Accession Numbers	Entrez Gene ID	Ensembl Gene ID	RefSeq IDs	UniProt ID(supplied by UniProt)	UCSC ID(supplied by UCSC)
BCAS4	breast carcinoma amplified sequence 4	20q13.13	AK000502	55653	ENSG00000124243	NM_017843	Q8TDM0	uc002xvr.5
BCL2L1	BCL2 like 1	20q11.21	Z23115	598	ENSG00000171552	NM_138578	Q07817	uc002wwl.4
BFSP1	beaded filament structural protein 1	20p12.1	Y16717	631	ENSG00000125864	NM_001195	Q12934	uc002wpo.4
BHLHE23	basic helix-loop-helix family member e23	20q13.33	AL121673	128408	ENSG00000125533	NM_080606	Q8NDY6	uc002yeb.4
BIRC7	baculoviral IAP repeat containing 7	20q13.33	AF301009	79444	ENSG00000101197	NM_139317	Q96CA5	uc002yej.4
BLCAP	bladder cancer associated protein	20q11.23	AF053470	10904	ENSG00000166619	NM_006698	P62952	uc002xhc.3
BMIQ6	body mass index QTL 6	20pter-p11.2						
BMP2	bone morphogenetic protein 2	20p12.3		650	ENSG00000125845		P12643	uc002wmu.2
BMP7	bone morphogenetic protein 7	20q13.31		655	ENSG00000101144	NM_001719	P18075	uc010gip.2
BMP7-AS1	BMP7 antisense RNA 1	20q13.31		102723590	ENSG00000235032	NR_110631		
BPI	bactericidal permeability increasing protein	20q11.23	J04739	671	ENSG00000101425	NM_001725	P17213	uc002xib.3
BPIFA1	BPI fold containing family A member 1	20q11.21	AB024937	51297	ENSG00000198183	NM_130852	Q9NP55	uc002wyu.5
BPIFA2	BPI fold containing family A member 2	20q11.21	AF432917	140683	ENSG00000131050	NM_080574	Q96DR5	uc061wfu.1
BPIFA3	BPI fold containing family A member 3	20q11.21		128861	ENSG00000131059	NM_178466	Q9BQP9	uc002wyr.5
BPIFA4P	BPI fold containing family A member 4, pseudogene	20q11.21	AY180924	317716	ENSG00000183566	NR_026760	Q86YQ2	
BPIFB1	BPI fold containing family B member 1	20q11.21	BC008429	92747	ENSG00000125999	NM_033197	Q8TDL5	uc002wyw.1
BPIFB2	BPI fold containing family B member 2	20q11.21	AF465765	80341	ENSG00000078898	NM_025227	Q8N4F0	uc002wyj.5
BPIFB3	BPI fold containing family B member 3	20q11.21	AF549189	359710	ENSG00000186190	NM_182658	P59826	uc002wym.1
BPIFB4	BPI fold containing family B member 4	20q11.21	AF549190	149954	ENSG00000186191	NM_182519	P59827	uc010zue.3
BPIFB5P	BPI fold containing family B member 5, pseudogene	20q11.21		100505383	ENSG00000233146	NG_027787		
BPIFB6	BPI fold containing family B member 6	20q11.21	AF465767	128859	ENSG00000167104	NM_174897	Q8NFQ5	uc010zuc.2
BPIFB9P	BPI fold containing family B member 9, pseudogene	20q11.21		402016	ENSG00000125997	NG_029803		
BSNDP1	barttin CLCNK type accessory beta subunit pseudogene 1	20p11.1			ENSG00000275048			
BSNDP2	barttin CLCNK type accessory beta subunit pseudogene 2	20p11.1		100422517	ENSG00000274973	NG_025001		
BSNDP3	barttin CLCNK type accessory beta subunit pseudogene 3	20p11.1			ENSG00000277508			
BTBD3	BTB domain containing 3	20p12.2	AB023169	22903	ENSG00000132640		Q9Y2F9	uc002wny.5
C20orf27	chromosome 20 open reading frame 27	20p13	AK000557	54976	ENSG00000101220	NM_001039140	Q9GZN8	uc002wji.3
C20orf78	chromosome 20 open reading frame 78	20p11.23	AL035563	100128496	ENSG00000149443	NM_178462	Q9BR46	uc061vrb.1
C20orf85	chromosome 20 open reading frame 85	20q13.32	AL354776	128602	ENSG00000124237	NM_178456	Q9H1P6	uc002xyv.4
C20orf96	chromosome 20 open reading frame 96	20p13	AL034548	140680	ENSG00000196476	NM_153269	Q9NUD7	uc002wde.3
C20orf141	chromosome 20 open reading frame 141	20p13		128653	ENSG00000258713	NM_080739	Q9NUB4	uc002wgw.4
C20orf144	chromosome 20 open reading frame 144	20q11.22	AL121906	128864	ENSG00000149609	NM_080825	Q9BQM9	uc002wzs.3
C20orf173	chromosome 20 open reading frame 173	20q11.22	AL121586	140873	ENSG00000125975	NM_001145350	Q96LM9	uc061wmz.1
C20orf181	chromosome 20 open reading frame 181	20q13.33	U63828	100128998	ENSG00000279610			uc061ypy.1
C20orf187	chromosome 20 open reading frame 187 (putative)	20p12.2	AL050322	728434	ENSG00000125899	NR_146878	Q9UGB4	uc061vke.1
C20orf194	chromosome 20 open reading frame 194	20p13	AL110249	25943	ENSG00000088854	NM_001009984	Q5TEA3	uc002wii.4
C20orf196	chromosome 20 open reading frame 196	20p12.3	AK057796	149840	ENSG00000171984	NM_152504	Q8IYI0	uc002wmf.4
C20orf197	chromosome 20 open reading frame 197	20q13.33	AK091179	284756	ENSG00000176659	NM_173644	Q8N268	uc002ybj.2
C20orf202	chromosome 20 open reading frame 202	20p13		400831	ENSG00000215595	NM_001009612	A1L168	uc002wer.4
C20orf203	chromosome 20 open reading frame 203	20q11.21	AK091025	284805	ENSG00000198547	NM_182584	Q8NBC4	uc002wxz.4
C20orf204	chromosome 20 open reading frame 204	20q13.33		284739	ENSG00000196421	NM_001348090	Q6ZNR8	uc002yhq.4
CABLES2	Cdk5 and Abl enzyme substrate 2	20q13.33	BC003122	81928	ENSG00000149679	NM_031215	Q9BTV7	uc002ycv.3
CASC20	cancer susceptibility 20 (non-protein coding)	20p12.3	AY007089	101929244	ENSG00000229876			
CASS4	Cas scaffolding protein family member 4	20q13.31	AJ276678	57091	ENSG00000087589	NM_020356	Q9NQ75	uc002xxp.3
CBFA2T2	CBFA2/RUNX1 translocation partner 2	20q11.21-q11.22	AF052210	9139	ENSG00000078699	NM_001032999	O43439	uc002wze.2
CBLN4	cerebellin 4 precursor	20q13.2	AY358527	140689	ENSG00000054803	NM_080617	Q9NTU7	uc002xxa.5
CCM2L	CCM2 like scaffolding protein	20q11.21	AL031658	140706	ENSG00000101331	NM_080625	Q9NUG4	uc002wxf.3
CCNB1IP1P2	cyclin B1 interacting protein 1 pseudogene 2	20q13.12		100505892	ENSG00000230860	NG_029632		
CD24P3	CD24 molecule pseudogene 3	20q11.21		937		NG_032176		
CD40	CD40 molecule	20q13.12	X60592	958	ENSG00000101017	NM_001250	P25942	uc002xrg.2
CD93	CD93 molecule	20p11.21	U94333	22918	ENSG00000125810	NM_012072	Q9NPY3	uc002wsv.4
CDC25B	cell division cycle 25B	20p13		994	ENSG00000101224	NM_021874	P30305	uc002wjn.5
CDC27P3	cell division cycle 27 pseudogene 3	20q11.1		102723416	ENSG00000283005			
CDC27P4	cell division cycle 27 pseudogene 4	20q11.21		102723498				
CDC27P5	cell division cycle 27 pseudogene 5	20q11.21		647654				
CDC42P1	cell division cycle 42 pseudogene 1	20q11.22	AL356299	170503	ENSG00000234933			
CDH4	cadherin 4	20q13.33	L34059	1002	ENSG00000179242	NM_001794	P55283	uc032pok.1
CDH22	cadherin 22	20q13.12	AF035300	64405	ENSG00000149654	NM_021248	Q9UJ99	uc010ghk.3
CDH26	cadherin 26	20q13.33	AF169690, AK055202	60437	ENSG00000124215	NM_177980	Q8IXH8	uc002ybe.4
CDK5RAP1	CDK5 regulatory subunit associated protein 1	20q11.21	AF152097	51654	ENSG00000101391	NM_016408	Q96SZ6	uc002wyz.5
CDS2	CDP-diacylglycerol synthase 2	20p12.3	AF069532	8760	ENSG00000101290		O95674	uc002wls.4
CEBPB	CCAAT/enhancer binding protein beta	20q13.13	AY193834	1051	ENSG00000172216	NM_005194	P17676	uc002xvi.4
CEBPB-AS1	CEBPB antisense RNA 1	20q13.13	BX463443	101927559	ENSG00000277449	NR_125739		
CENPB	centromere protein B	20p13	X05299	1059	ENSG00000125817	NM_001810	P07199	uc002wjk.3
CEP250	centrosomal protein 250	20q11.22	AF022655	11190	ENSG00000126001	NM_007186	Q9BV73	uc032pib.2
CFAP61	cilia and flagella associated protein 61	20p11.23	AL117439	26074	ENSG00000089101	NM_015585	Q8NHU2	
CFTRP1	cystic fibrosis transmembrane conductance regulator pseudogene 1	20p11.1	AL078587	140871	ENSG00000228593	NG_002787		
CFTRP2	cystic fibrosis transmembrane conductance regulator pseudogene 2	20q11.1		107080633	ENSG00000282921			
CFTRP3	cystic fibrosis transmembrane conductance regulator pseudogene 3	20q11.1			ENSG00000204555			
CHD6	chromodomain helicase DNA binding protein 6	20q12	AF525085	84181	ENSG00000124177		Q8TD26	uc002xka.3
CHGB	chromogranin B	20p12.3		1114	ENSG00000089199	NM_001819	P05060	uc002wmg.4
CHMP4B	charged multivesicular body protein 4B	20q11.22	AL050349	128866	ENSG00000101421		Q9H444	uc002xaa.4
CHRNA4	cholinergic receptor nicotinic alpha 4 subunit	20q13.33		1137	ENSG00000101204		P43681	uc002yes.4
CICP4	capicua transcriptional repressor pseudogene 4	20q13.33		100132920	ENSG00000232852			
CNBD2	cyclic nucleotide binding domain containing 2	20q11.23	AL359828	140894	ENSG00000149646	NM_080834	Q96M20	uc002xer.1
COL9A3	collagen type IX alpha 3 chain	20q13.33	AK075240	1299	ENSG00000092758	NM_001853	Q14050	uc002ydm.3
COL20A1	collagen type XX alpha 1 chain	20q13.33	BC043183	57642	ENSG00000101203	NM_020882	Q9P218	uc011aau.2
COMMD7	COMM domain containing 7	20q11.21	AY542162	149951	ENSG00000149600	NM_053041	Q86VX2	uc002wya.5
COX4I2	cytochrome c oxidase subunit 4I2	20q11.21	AF257180	84701	ENSG00000131055	NM_032609	Q96KJ9	uc002wwj.2
COX6CP2	cytochrome c oxidase subunit 6C pseudogene 2	20q13.13	AL034429	170504	ENSG00000231715			
COX7BP2	cytochrome c oxidase subunit 7B pseudogene 2	20q11.23		140692	ENSG00000234274			
CPNE1	copine 1	20q11.22	U83246	8904	ENSG00000214078	NM_152930	Q99829	uc002xdf.4
CPXM1	carboxypeptidase X, M14 family member 1	20p13	AL035460	56265	ENSG00000088882	NM_019609	Q96SM3	uc002wgu.4
CRLS1	cardiolipin synthase 1	20p12.3	AF241784	54675	ENSG00000088766	NM_019095	Q9UJA2	uc002wmn.5
CRNKL1	crooked neck pre-mRNA splicing factor 1	20p11.23	AF255443	51340	ENSG00000101343		Q9BZJ0	uc061vse.1
CSE1L	chromosome segregation 1 like	20q13.13	U33286	1434	ENSG00000124207	NM_001316	P55060	uc002xty.5
CSE1L-AS1	CSE1L antisense RNA 1	20q13.13		102723483	ENSG00000227431	NR_110624		
CSNK2A1	casein kinase 2 alpha 1	20p13	M55265	1457	ENSG00000101266	NM_001895	P68400	uc002wdx.2
CST1	cystatin SN	20p11.21	M19169	1469	ENSG00000170373	NM_001898	P01037	uc061vvz.1
CST2	cystatin SA	20p11.21	M19671	1470	ENSG00000170369		P09228	uc002wtq.2
CST2P1	cystatin SA pseudogene 1	20p11.21		101410546	ENSG00000232595	NG_033231		
CST3	cystatin C	20p11.21		1471	ENSG00000101439	NM_000099	P01034	uc002wtm.5
CST4	cystatin S	20p11.21		1472	ENSG00000101441	NM_001899	P01036	uc002wto.2
CST5	cystatin D	20p11.21		1473	ENSG00000170367	NM_001900	P28325	uc002wtr.2
CST7	cystatin F	20p11.21	AF036342	8530	ENSG00000077984	NM_003650	O76096	uc002wtx.2
CST8	cystatin 8	20p11.21	AF059244	10047	ENSG00000125815		O60676	uc002wth.3
CST9	cystatin 9	20p11.21	AF494536	128822	ENSG00000173335	NM_001008693.1	Q5W186	uc002wtl.4
CST9L	cystatin 9 like	20p11.21		128821	ENSG00000101435	NM_080610	Q9H4G1	uc002wtk.5
CST9LP1	cystatin 9-like pseudogene 1	20p11.21		128820	ENSG00000204662		Q5W188	
CST9LP2	cystatin 9-like pseudogene 2	20p11.21			ENSG00000204658			
CST11	cystatin 11	20p11.21	AL096677	140880	ENSG00000125831	NM_130794	Q9H112	uc002wtf.2
CST12P	cystatin 12, pseudogene	20p11.21			ENSG00000226344			
CST13P	cystatin 13, pseudogene	20p11.21		164380	ENSG00000204663			
CSTF1	cleavage stimulation factor subunit 1	20q13.2-q13.31		1477	ENSG00000101138	NM_001033521	Q05048	uc002xxm.2
CSTL1	cystatin like 1	20p11.21	AL096677	128817	ENSG00000125823		Q9H114	uc002wte.3
CSTP1	cystatin pseudogene 1	20p11.21		1480	ENSG00000228476	NG_001020		
CSTP2	cystatin pseudogene 2	20p11.21	AF319563	1481	ENSG00000277975	NG_000839		
CTCFL	CCCTC-binding factor like	20q13.31		140690	ENSG00000124092	NM_080618	Q8NI51	uc010gjd.2
CTNNBL1	catenin beta like 1	20q11.23	AL023804	56259	ENSG00000132792	NM_030877	Q8WYA6	uc061wwh.1
CTSA	cathepsin A	20q13.12	M22960	5476	ENSG00000064601	NM_000308	P10619	uc002xqh.4
CTSZ	cathepsin Z	20q13.32	AF032906	1522	ENSG00000101160	NM_001336	Q9UBR2	uc002yai.3
CYB5AP4	cytochrome b5 type A pseudogene 4	20p11.21	M24781	1532	ENSG00000213882	NG_001021		
CYP24A1	cytochrome P450 family 24 subfamily A member 1	20q13.2	U60669	1591	ENSG00000019186		Q07973	uc002xwv.3
DBNDD2	dysbindin domain containing 2	20q13.12	AF220191	55861	ENSG00000244274	NM_018478	Q9BQY9	uc002xnz.4
DDRGK1	DDRGK domain containing 1	20p13	AL121891	65992	ENSG00000198171	NM_023935	Q96HY6	uc002wic.4
DDX11L13	DEAD/H-box helicase 11 like 13	20p13						
DDX27	DEAD-box helicase 27	20q13.13	AL049766	55661	ENSG00000124228		Q96GQ7	uc002xuh.4
DEFB115	defensin beta 115	20q11.21	DQ012019	245929	ENSG00000215547	NM_001037730	Q30KQ5	uc002wvp.1
DEFB116	defensin beta 116	20q11.21	DQ012020	245930	ENSG00000215545	NM_001037731	Q30KQ4	uc010ztm.2
DEFB117	defensin beta 117 (pseudogene)	20q11.21	DQ012021	245931	ENSG00000212717			
DEFB118	defensin beta 118	20q11.21	AF347073	117285	ENSG00000131068	NM_054112	Q96PH6	uc002wvr.4
DEFB119	defensin beta 119	20q11.21	AA939044	245932	ENSG00000180483	NM_153289	Q8N690	uc002wvt.5
DEFB121	defensin beta 121	20q11.21	AI476463	245934	ENSG00000204548	NM_001011878	Q5J5C9	uc002wvv.3
DEFB122	defensin beta 122 (pseudogene)	20q11.21	AI989655	245935	ENSG00000204547	NR_045677		
DEFB123	defensin beta 123	20q11.21	AA933749	245936	ENSG00000180424	NM_153324	Q8N688	uc002wvy.4
DEFB124	defensin beta 124	20q11.21	DQ119827	245937	ENSG00000180383	NM_001037500	Q8NES8	uc002wvz.1
DEFB125	defensin beta 125	20p13	AA935636	245938	ENSG00000178591	NM_153325	Q8N687	uc002wcw.4
DEFB126	defensin beta 126	20p13		81623	ENSG00000125788	NM_030931	Q9BYW3	uc002wcx.5
DEFB127	defensin beta 127	20p13	AY358796	140850	ENSG00000088782	NM_139074	Q9H1M4	uc002wcy.2
DEFB128	defensin beta 128	20p13	AF525930	245939	ENSG00000185982	NM_001037732	Q7Z7B8	uc002wcz.2
DEFB129	defensin beta 129	20p13	AY358186	140881	ENSG00000125903	NM_080831	Q9H1M3	uc002wda.3
DEFB132	defensin beta 132	20p13	AF525932	400830	ENSG00000186458	NM_207469	Q7Z7B7	uc002wdb.4
DFNB65	deafness, autosomal recessive 65	20q13.2-q13.32						
DHX35	DEAH-box helicase 35	20q11.23-q12	AK026412	60625	ENSG00000101452	NM_021931	Q9H5Z1	uc002xjh.4
DIDO1	death inducer-obliterator 1	20q13.33	AB002331	11083	ENSG00000101191	NM_080796	Q9BTC0	uc002ydt.3
DKKL1P1	dickkopf-like 1 pseudogene 1	20q11.21		128848	ENSG00000215546	NG_005524		
DLGAP4	DLG associated protein 4	20q11.23	AF088030	22839	ENSG00000080845	NM_014902	Q9Y2H0	uc002xff.4
DLGAP4-AS1	DLGAP4 antisense RNA 1	20q11.23	BC039668	101926987	ENSG00000232907	NR_109939		
DNAJC5	DnaJ heat shock protein family (Hsp40) member C5	20q13.33		80331	ENSG00000101152	NM_025219	Q9H3Z4	uc002yhf.4
DNMT3B	DNA methyltransferase 3 beta	20q11.21		1789	ENSG00000088305	NM_006892	Q9UBC3	uc002wyc.3
DNTTIP1	deoxynucleotidyltransferase terminal interacting protein 1	20q13.12	AB035676	116092	ENSG00000101457	NM_052951	Q9H147	uc002xpk.3
DOK5	docking protein 5	20q13.2	AF132732	55816	ENSG00000101134		Q9P104	uc002xwy.4
DPH3P1	diphthamide biosynthesis 3 pseudogene 1	20q13.33		100132911	ENSG00000233838	NM_080750	Q9H4G8	
DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	20q13.13	AF007875	8813	ENSG00000000419	NM_003859	O60762	uc002xvw.2
DSN1	DSN1 homolog, MIS12 kinetochore complex component	20q11.23	AK023408	79980	ENSG00000149636	NM_024918	Q9H410	uc002xga.4
DSTN	destrin, actin depolymerizing factor	20p12.1	S65738	11034	ENSG00000125868	NM_001011546	P60981	uc002wpr.4
DTD1	D-tyrosyl-tRNA deacylase 1	20p11.23	AF332356	92675	ENSG00000125821	NM_080820	Q8TEA8	uc002wrf.5
DUSP15	dual specificity phosphatase 15	20q11.21		128853	ENSG00000149599	NM_080611	Q9H1R2	uc002wwx.2
DUX4L32	double homeobox 4 like 32 (pseudogene)	20q11.1		107075316	ENSG00000283069			
DUX4L33	double homeobox 4 like 33 (pseudogene)	20q11.1		107080551	ENSG00000282894			
DUX4L34	double homeobox 4 like 34 (pseudogene)	20q11.1		105379479	ENSG00000282935			
DUX4L35	double homeobox 4 like 35 (pseudogene)	20q11.1		106632270	ENSG00000282911			
DUX4L36	double homeobox 4 like 36 (pseudogene)	20q11.1						
DUX4L37	double homeobox 4 like 37 (pseudogene)	20q11.1		107080108	ENSG00000283020			
DUX4L38	double homeobox 4 like 38 (pseudogene)	20q11.21						
DUX4L39	double homeobox 4 like 39 (pseudogene)	20q11.21						
DUXAP7	double homeobox A pseudogene 7	20p11.23		503636	ENSG00000232136	NG_004846		
DYNLRB1	dynein light chain roadblock-type 1	20q11.22	AF132750	83658	ENSG00000125971	NM_014183	Q9NP97	uc002xal.5
DYNLT3P1	dynein light chain Tctex-type 3 pseudogene 1	20p12.1	AC010083	170554	ENSG00000232241	NG_001059		
DYT17	dystonia 17	20p11.22-q13.12						
DZANK1	double zinc ribbon and ankyrin repeat domains 1	20p11.23	AK001462	55184	ENSG00000089091	NM_001099407	Q9NVP4	uc002wqq.5
E2F1	E2F transcription factor 1	20q11.22		1869	ENSG00000101412		Q01094	uc002wzu.5
EBF4	early B cell factor 4	20p13	BC019106	57593	ENSG00000088881	XM_938882	Q9BQW3	uc002wgt.5
EDEM2	ER degradation enhancing alpha-mannosidase like protein 2	20q11.22	AK001645	55741	ENSG00000088298	NM_018217	Q9BV94	uc002xbo.3
EDN3	endothelin 3	20q13.32	X52001	1908	ENSG00000124205	NM_000114	P14138	uc002yaq.4
EEF1A1P34	eukaryotic translation elongation factor 1 alpha 1 pseudogene 34	20p11.23		100132358	ENSG00000233324			
EEF1A2	eukaryotic translation elongation factor 1 alpha 2	20q13.33	AF163763	1917	ENSG00000101210	NM_001958	Q05639	uc002yfe.3
EEGV1	electro-encephalographic variant pattern 1	20q		1940				
EFCAB8	EF-hand calcium binding domain 8	20q11.21		388795	ENSG00000215529	XM_371397	A8MWE9	uc061wfj.1
EIF2S2	eukaryotic translation initiation factor 2 subunit beta	20q11.22	M29536	8894	ENSG00000125977	NM_003908	P20042	uc002xaf.4
EIF4E2P1	eukaryotic translation initiation factor 4E family member 2 pseudogene 1	20p11.23		128770	ENSG00000213384	NG_005202		
EIF4EBP2P1	eukaryotic translation initiation factor 4E binding protein 2 pseudogene 1	20q13.11	AL031681	170510	ENSG00000233711	NG_001034		
EIF4EP1	eukaryotic translation initiation factor 4E pseudogene 1	20p12.3	AL109935	1980	ENSG00000233578			
EIF6	eukaryotic translation initiation factor 6	20q11.22	Y11435	3692	ENSG00000242372	NM_002212	P56537	uc002xbx.3
ELMO2	engulfment and cell motility 2	20q13.12	AF398886	63916	ENSG00000062598	NM_022086	Q96JJ3	uc002xru.2
EMILIN3	elastin microfibril interfacer 3	20q12	AL031667	90187	ENSG00000183798	XM_029741	Q9NT22	uc002xjy.2
ENSAP1	endosulfine alpha pseudogene 1	20p12.1	AL050324	170511	ENSG00000224274			
ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)	20p11.21	AF039916		ENSG00000197586		O75354	uc002wuj.3
EPB41L1	erythrocyte membrane protein band 4.1 like 1	20q11.23	AB002336	2036	ENSG00000088367	NM_012156	Q9H4G0	uc002xfb.4
EPPIN	epididymal peptidase inhibitor	20q13.12	AF286370	57119	ENSG00000101448		O95925	uc002xou.4
EPPIN-WFDC6	EPPIN-WFDC6 readthrough	20q13.12		100526773	ENSG00000249139	NM_001198986.1	O95925, Q9BQY6	uc010zxc.3
ERGIC3	ERGIC and golgi 3	20q11.22	AF077030	51614	ENSG00000125991	NM_015966	Q9Y282	uc002xcs.4
ERP29P1	endoplasmic reticulum lumenal protein 29 pseudogene 1	20q13.2		100420612	ENSG00000233347	NG_000933		
ERVK3-8	endogenous retrovirus group K3 member 8	20p11.21	FR714898					
ESF1	ESF1 nucleolar pre-rRNA processing protein homolog	20p12.1		51575	ENSG00000089048	NM_016649	Q9H501	uc002woj.3
EYA2	EYA transcriptional coactivator and phosphatase 2	20q13.12		2139	ENSG00000064655	NM_005244	O00167	uc002xsm.3
FAM83C	family with sequence similarity 83 member C	20q11.22	AL121753	128876	ENSG00000125998		Q9BQN1	uc021wck.2
FAM83C-AS1	FAM83C antisense RNA 1	20q11.22	AL121753	140846	ENSG00000235214			uc032phx.2
FAM83D	family with sequence similarity 83 member D	20q11.23	AL023803	81610	ENSG00000101447		Q9H4H8	uc061wzh.1
FAM110A	family with sequence similarity 110 member A	20p13	BC012800	83541	ENSG00000125898	NM_031424	Q9BQ89	uc002wef.3
